reply_comment_total,digg_count,AF,IP,C-Label,video,comment_id,publication_time
2,0,我喜欢那个矮的，应该可以玩红绳,Shandong,Emotions and Interpersonal Relationships,video1,comment1,2025-04-03
0,0,为什么我遇不到,Beijing,Seeking Interaction and Imitation,video2,comment2,2025-04-21
0,0,蹲个精神小妹,Liaoning,Seeking Interaction and Imitation,video3,comment3,2025-03-20
0,1,会玩 发呆我也要去 捂脸,Hubei,Seeking Interaction and Imitation,video4,comment4,2025-04-16
3,1,其实，我有个小学同学真的是这个样子 尬笑，我看她空间我都替她尴尬 尬笑,Sichuan,Sharing Personal Experiences,video5,comment5,2022-09-08
0,3,一无所有 什么都不怕,Guangdong,Behavior and Lifestyle,video6,comment6,2025-04-26
0,6,那个精神母女小乔打人 绝望的凝视不理解她能火,Jilin,Social Evaluation and Concepts,video6,comment7,2025-04-26
0,0,他们是真穷，他们是真高兴 捂脸 赞,Henan,Behavior and Lifestyle,video7,comment8,2024-12-08
1,0,哥 带我们拍一期行吗,Henan,Seeking Interaction and Imitation,video8,comment9,2025-03-19
0,0,倒是给我来个精神小妹啊 流泪,Jiangsu,Seeking Interaction and Imitation,video2,comment10,2025-04-18
0,0,为什么重新发了,Hebei,Others,video9,comment11,2025-03-31
0,0,300块就能这么快乐么,Guizhou,Behavior and Lifestyle,video7,comment12,2025-02-10
0,0,这20块 花的太值了,Liaoning,Others,video10,comment13,2025-04-05
3,7,我都30了也喜欢蜜雪冰城 茶百道我能喝半杯 蜜雪能喝完,Shanghai,Sharing Personal Experiences,video11,comment14,2024-12-06
0,0,最后才是 亮点 美女都跟有钱的走了 捂脸,Chongqing,Emotions and Interpersonal Relationships,video12,comment15,2025-03-21
0,0,突然有想法，这帮人闲散着早晚出事，不如组织起来找点事干，回头再看，不是都在干短视频了吗？,Jiangsu,Social Evaluation and Concepts,video13,comment16,2024-09-23
0,0,综艺节目都没有这个有意思啊。,Shanxi,Others,video14,comment17,2025-05-01
0,0,混社会的，还是最底层的小弟,Jiangsu,Social Evaluation and Concepts,video15,comment18,2025-05-04
0,0,200块钱约个会，不亏啊，现在随便叫个女的去唱歌吃饭都不止200 呲牙,Zhejiang,Behavior and Lifestyle,video16,comment19,2025-02-21
0,1,商水那个香山购物广场？？,Henan,Regional and Group Characteristics,video17,comment20,2025-02-21
0,0,摄影师给你机会你不中用啊,Sichuan,Challenge Authenticity and Performativity,video18,comment21,2025-02-20
0,0,头上不是头皮屑， 是接发的 呲牙,Yunnan,Appearance and Attire,video19,comment22,2025-03-13
0,1,看跟着大哥混，三天饿九顿，跟着大姐混好点，一天吃一顿……,Sichuan,Social Evaluation and Concepts,video20,comment23,2025-05-03
1,0,苏州有精神群吗？带我一起走走,Jiangsu,Seeking Interaction and Imitation,video21,comment24,2023-10-18
0,0,我给200带我也玩一天 捂脸,Anhui,Seeking Interaction and Imitation,video22,comment25,2024-12-07
0,0,为什么精神小妹不爱洗头,Sichuan,Behavior and Lifestyle,video23,comment26,2025-02-20
32,61,能不能搞一期和40岁妇女谈恋爱的一天，我想玩,Zhejiang,Seeking Interaction and Imitation,video24,comment27,2025-04-27
0,0,爱死你的酒窝了,Beijing,Appearance and Attire,video25,comment28,2024-06-16
0,0,你怎么把她俩给抛弃了,Shandong,Emotions and Interpersonal Relationships,video26,comment29,2025-04-19
0,0,来看发的，沈阳的精神小伙,Liaoning,Regional and Group Characteristics,video27,comment30,2024-11-11
6,10,别急，我那个六年级的亲弟弟已经转战到抖音了 捂脸,Anhui,Sharing Personal Experiences,video28,comment31,2024-07-24
2,1,我和我老公初中处对象，02年处的。到现在23年了。我该把我老公名字纹哪儿呢？,Liaoning,Sharing Personal Experiences,video29,comment32,2025-05-19
0,1,那几个被铲的女孩子的父母看到这个视频是啥心情 捂脸,Shanghai,Emotions and Interpersonal Relationships,video15,comment33,2025-05-01
